gene	Endothelial.cells	Alveolar.Luminal	Basal.Myoepithelial	Pericytes	Fibroblasts	Prolif.Fibroblasts	Luminal.progenitor	Luminal.mature
Ccdc127	0.2720421195701944	0.08814356104508862	0.3946513002325908	0.43581742177117044	0.37812896969227033	0.5849113101702171	0.29075847943519983	0.21603017121169346
Lrrc14b	0	0	0	0.004920405323487298	0.0004487172427241941	0	0.01276843052245864	0.005090968476539318
Zfp72	0.06373792146586069	0.0006249942798385171	0.04722064103387097	0.08785259474295574	0.011889658776049724	0.006660328846575181	0.0343997370318664	0.014179949563414174
Ftl1-ps1	0.07405806932572405	0.023368143966011418	0.026549863888561995	0.0778040787916	0.17225942282503184	0.18737687763884703	0.3279206563376855	0.08401289736185354
Gm47428	0	0	0	0	0.0016619945989155426	0.005799828755899658	0.0014553075511506697	0
E430024I08Rik	0.12164178721060462	0.009309582256073494	0.16332449748757388	0.10417971010884954	0.07361573285627311	0.027943792627834547	0.15059985725176386	0.17114109227124522
Gm49762	0	0	0	0	0	0	0	0
Zfp825	0.0701245403131269	0.02839354292608823	0.07917918873860226	0.07086600822812725	0.046934995040958445	0.07430071051383944	0.0969127685170304	0.12692850422606813
Gm49763	0	0	0	0	0	0	0.0005454212456385466	0
Gm47467	0.007616921300530534	0.0004294128610949954	0	0.04764320321943954	0.007209893278560455	0.005490121672648706	0.0013423991920569803	0
Gm47469	0.020028795046670052	0.0015465501202570008	0.003985031272571617	0.038433036150113856	0.01834185764684195	0	0.023690353482634253	0.02404645847592424
Gm46430	0.14488240753442955	0.0070526496593407316	0.14098685164305208	0.12481791345110096	0.04747159085401123	0.05757737556178537	0.08344512275555574	0.06310275708597457
Erap1	0.6671712181416156	0.03254674266207566	0.26863919034022493	0.3528603331257693	0.2859394026179282	0.18894953709727258	0.24739904517104933	0.33365196114828977
Cast	1.2124784667117832	0.07526433297760755	0.9217170079401087	1.155943323389177	1.4917621859616779	1.5823474895164915	0.7187676305188636	1.1993669132771005
Pcsk1	0	0.00035590021019560157	0.004648626530017421	0.024323934477084214	0.0008515475744827736	0.004922846302311353	0.0002153846292763787	0
1700037F03Rik	0	0.0034326678579805242	0.015157667195641364	0	0.011638242399649307	0.02100337128824525	0.054904426332447326	0.00912948621550084
Ell2	0.2803878626796245	0.40990527852899916	0.3258649293792576	0.49640292634833055	0.7145884300936387	0.5066888382105565	0.783619260606299	0.5595847900850056
Gm48302	0.013150186232928872	0.002463310121656267	0.0037066911442542516	0.003162506501613616	0.018830834010152196	0.01257524498121214	0.012947404381567619	0.002903084203901452
Glrx	0.15718401254371428	0.4855572855034893	0.24917307346826129	0.154644309817065	0.11895541407616049	0.16846584787114527	0.4170337824812745	0.12808271866099913
Rhobtb3	0.0442524787212805	0.028353542700782115	0.5784688697970973	0.3429379460808017	0.6893416875163274	0.4167379694234185	0.14632763775043064	0.1488973044167138
Spata9	0	0.00018778105362755927	0.004049261164216687	0	0.0060139251984627625	0	0.003099429988543009	0.008067970247315523
Rfesd	0.07550645881630312	0.034586398598526254	0.21687295208823654	0.10614634305017379	0.05912528405375491	0.05392088142469421	0.11027341376446748	0.14169471662849603
Gpr150	0.0015598223392852147	0.00020623438481372016	0	0.008919624618694371	0.0004764038703128643	0	0	0
Arsk	0.1628039172074614	0.006430656402387785	0.22443730401309078	0.2721885043064864	0.2664018409459133	0.13951651493868267	0.12302797161416286	0.064508275796431
Ttc37	0.34975775751886806	0.045774237506316026	0.37233018101754417	0.3256770960911693	0.3958228918916001	0.1975989204426663	0.279157101746257	0.413939831016682
Fam81b	0	0	0	0	0.00033235755792247106	0	0	0
Gm31219	0	0	0	0	0	0	0	0
Mctp1	0.5614830947922553	0.009511827645610984	0.0716005112185818	0.3981851415429303	0.04847515113038615	0.42153693676178633	0.06236116810788158	0.02115903751300844
Slf1	0.2944359901163543	0.007841294623486778	0.30427207837375114	0.36143456053683454	0.20825884158538985	0.446316075060383	0.18291795977511918	0.3491655071408667
2210408I21Rik	0.40137932611065685	0.04608576438320814	0.4526240206712196	0.5209188311487017	0.6383278024618236	0.35942085253277345	0.32614024921481694	0.5103277280167239
Fam172a	0.9821375294994885	0.05163003053852701	0.784411998353591	1.1658821282375091	1.280556217212121	0.9552704041388944	0.5850608558984404	0.8400871474155637
Pou5f2	0.0291168810609743	0.0004764263523588914	0.03427708744303064	0.044846386430102685	0.056844015871524496	0.0426160481361405	0.032757974414097515	0.0325430470714244
Gm38604	0.012167424892407644	0	0.002304998679585616	0.022432795577144483	0.012377937722628957	0	0.001906804726300557	0.009728311827574328
3110006O06Rik	0.0018125702627992373	0	0.003635457455029859	0.0019465247308254245	0.009449149044564871	0.01581207924795766	0.0007507987480783506	0
Nr2f1	0.0017519218489709934	0.00010055761417755416	0	0.34012659180822036	0.11615095241200998	0.06650709440366001	0	0
A830082K12Rik	0.0013113685424630517	0	0	0.3977836622709418	0.14459702646785638	0.0930016180825667	0.00027036615680079063	0
Gm48399	0	0	0	0	0	0	0	0
Gm31946	0	0.0001291516376853845	0.006326422382865474	0.0015886121731407234	0.0015495379918266038	0	0	0
Gm32067	0.01495817863612232	0.002338848408156096	0	0.022402470273493062	0.0003164130177349033	0	0.00036482384231271037	0
Gm48402	0	0	0	0.0029896668366855036	0	0	0	0
Gm29318	0	0	0	0	0	0	0	0
Gm28526	0.00042453183921695983	0.00008818972395065266	0	0	0	0	0.000486453668880677	0
Arrdc3	0.3955926531882386	0.06418153544649302	0.12276422586699587	0.19482989029571945	0.41714727146613684	0.27843671768320005	0.8922753365339342	0.3246377434056409
1700023H06Rik	0.0004985040343974859	0.005145317174233731	0.006212247125571193	0.019765687292690747	0.005303545096631121	0.008561522169926531	0.015769939141403476	0.0030541114693605556
5430425K12Rik	0	0	0	0	0.0041777374013444715	0	0.0022141553032859395	0.019344425637419446
Gm4211	0.002847350568307611	0.0010915127802358703	0	0.0011224684996764041	0.0023478222316269098	0.005325240599607503	0.015577779606350432	0.014431970819157846
9330111N05Rik	0.008739764564909745	0.0031054907892868254	0.02292928506883524	0.003212159662904369	0.026377770641263728	0.011516255624703991	0.05736175056545334	0.024961043642510596
Gm49375	0.0007069526954136335	0	0	0	0	0	0	0
Adgrv1	0.12073604971838885	0.0016285510769449034	0.027250731025405227	0.06933779917378889	0.0018203068306996393	0.0034173195585564167	0.0154816226332238	0
Lysmd3	0.3706559239458359	0.03354036810128126	0.22933681956976318	0.39684494907055695	0.4856845877372131	0.5289373160236789	0.20562127494392088	0.20813479833891085
Polr3g	0.04275114540494316	0.024995777566565548	0.03524401541546696	0.0058126556861989465	0.018065089987737478	0	0.09403383484316007	0.060653951267306945
Mblac2	0.07292187674421925	0.024682317940674565	0.08451692729598378	0.08527788589099015	0.05692498377080481	0.026656001094627922	0.057039498471423276	0.015731987351058612
Gm17259	0.01997353844982513	0.002844155616508598	0.011151833360244686	0.007647948057041318	0.00654092850680153	0	0.008127806737054825	0.005453111151275526
Cetn3	0.5954313054413098	0.11746928861888446	0.7417342637180357	0.6618350155350264	0.47944523458598914	0.6329721535453715	0.5359037857247043	0.7454955685794127
Gm48155	0.002639302100553055	0	0	0.005232233723911208	0.0017395349729683752	0	0.000257266373938296	0
2310067P03Rik	0	0	0	0	0	0	0	0
Mef2c	1.859013973649615	0.02100900835840955	1.3422813425287168	2.065914727362537	0.38076932417441073	0.7620281640710187	0.10159635757842836	0.03792331440594125
C130071C03Rik	0.001371927961983453	0	0	0.006819457395308876	0	0	0	0
Gm26803	0	0	0	0	0	0	0	0
2810049E08Rik	0	0	0	0	0	0	0	0
Gm4241	0	0	0	0	0	0	0	0
Gm17750	0	0	0	0	0	0	0	0
A230107N01Rik	0	0.00040302855683069027	0	0.010754246518503239	0	0	0	0
Tmem161b	0.2440315314920184	0.022476721574042926	0.22162054826663957	0.1974653820315107	0.11998938302743875	0.07285312401223859	0.20901553088404545	0.3493613847177946
Gm49223	0.0009759204904448886	0	0	0	0	0	0.0009550088709286713	0
Ccnh	0.2653372636126689	0.05193352076962203	0.33061781182545	0.2539172106795883	0.35884330390547753	0.37140633043797794	0.2321960108578148	0.25088614949778687
